gene.names	cluster
ENSMUSG00000026032	Ndufb3	1
ENSMUSG00000026078	Pdcl3	1
ENSMUSG00000026087	Mrpl30	1
ENSMUSG00000026154	Sdhaf4	1
ENSMUSG00000026171	Rnf25	1
ENSMUSG00000026172	Bcs1l	1
ENSMUSG00000026176	Ctdsp1	1
ENSMUSG00000026201	Stk16	1
ENSMUSG00000026213	Stk11ip	1
ENSMUSG00000026238	Ptma	1
ENSMUSG00000026239	Pde6d	1
ENSMUSG00000026260	Ndufa10	1
ENSMUSG00000026269	Rnpepl1	1
ENSMUSG00000026273	Mterf4	1
ENSMUSG00000026281	Dtymk	1
ENSMUSG00000026309	Ilkap	1
ENSMUSG00000026347	Tmem163	1
ENSMUSG00000026353	Ubxn4	1
ENSMUSG00000026385	Dbi	1
ENSMUSG00000026388	3110009E18Rik	1
ENSMUSG00000026426	Arl8a	1
ENSMUSG00000026457	Adipor1	1
ENSMUSG00000026509	Capn2	1
ENSMUSG00000026511	Srp9	1
ENSMUSG00000026520	Pycr2	1
ENSMUSG00000026526	Fh1	1
ENSMUSG00000026544	Dusp23	1
ENSMUSG00000026568	Mpc2	1
ENSMUSG00000026574	Dpt	1
ENSMUSG00000026578	Ccdc181	1
ENSMUSG00000026603	Smyd2	1
ENSMUSG00000026641	Usf1	1
ENSMUSG00000026664	Phyh	1
ENSMUSG00000026688	Mgst3	1
ENSMUSG00000026701	Prdx6	1
ENSMUSG00000026728	Vim	1
ENSMUSG00000026750	Psmb7	1
ENSMUSG00000026755	Arpc5l	1
ENSMUSG00000026796	Niban2	1
ENSMUSG00000026817	Ak1	1
ENSMUSG00000026820	Ptges2	1
ENSMUSG00000026856	Dolpp1	1
ENSMUSG00000026857	Ntmt1	1
ENSMUSG00000026860	Sh3glb2	1
ENSMUSG00000026895	Ndufa8	1
ENSMUSG00000026921	Egfl7	1
ENSMUSG00000026926	Pmpca	1
ENSMUSG00000026927	Entr1	1
ENSMUSG00000026928	Card9	1
ENSMUSG00000026966	Ssna1	1
ENSMUSG00000026999	Nup35	1
ENSMUSG00000027012	Dync1i2	1
ENSMUSG00000027075	Slc43a1	1
ENSMUSG00000027080	Med19	1
ENSMUSG00000027091	Zc3h15	1
ENSMUSG00000027099	Mtx2	1
ENSMUSG00000027131	Emc4	1
ENSMUSG00000027133	Nop10	1
ENSMUSG00000027160	Ccdc34	1
ENSMUSG00000027163	Commd9	1
ENSMUSG00000027195	Hsd17b12	1
ENSMUSG00000027203	Dut	1
ENSMUSG00000027222	Pex16	1
ENSMUSG00000027223	Mapk8ip1	1
ENSMUSG00000027239	Mdk	1
ENSMUSG00000027316	Gfra4	1
ENSMUSG00000027327	Adissp	1
ENSMUSG00000027342	Pcna	1
ENSMUSG00000027375	Mal	1
ENSMUSG00000027387	Zc3h8	1
ENSMUSG00000027404	Snrpb	1
ENSMUSG00000027405	Nop56	1
ENSMUSG00000027406	Idh3b	1
ENSMUSG00000027423	Snx5	1
ENSMUSG00000027447	Cst3	1
ENSMUSG00000027455	Nsfl1c	1
ENSMUSG00000027463	Slc52a3	1
ENSMUSG00000027474	Ccm2l	1
ENSMUSG00000027488	Snta1	1
ENSMUSG00000027502	Rtf2	1
ENSMUSG00000027523	Gnas	1
ENSMUSG00000027525	Phactr3	1
ENSMUSG00000027533	Fabp5	1
ENSMUSG00000027552	E2f5	1
ENSMUSG00000027562	Car2	1
ENSMUSG00000027566	Psma7	1
ENSMUSG00000027569	Mrgbp	1
ENSMUSG00000027581	Stmn3	1
ENSMUSG00000027597	Ahcy	1
ENSMUSG00000027602	Map1lc3a	1
ENSMUSG00000027673	Ndufb5	1
ENSMUSG00000027679	Dnajc19	1
ENSMUSG00000027706	Sec62	1
ENSMUSG00000027804	Ppid	1
ENSMUSG00000027938	Creb3l4	1
ENSMUSG00000027942	4933434E20Rik	1
ENSMUSG00000027944	Hax1	1
ENSMUSG00000027952	Pmvk	1
ENSMUSG00000027968	Larp7	1
ENSMUSG00000028029	Aimp1	1
ENSMUSG00000028039	Efna3	1
ENSMUSG00000028051	Hcn3	1
ENSMUSG00000028057	Rit1	1
ENSMUSG00000028062	Lamtor2	1
ENSMUSG00000028063	Lmna	1
ENSMUSG00000028070	Naxe	1
ENSMUSG00000028081	Rps3a1	1
ENSMUSG00000028104	Polr3gl	1
ENSMUSG00000028138	Adh5	1
ENSMUSG00000028214	Gem	1
ENSMUSG00000028218	Cibar1	1
ENSMUSG00000028234	Rps20	1
ENSMUSG00000028271	Gtf2b	1
ENSMUSG00000028333	Anp32b	1
ENSMUSG00000028367	Txn1	1
ENSMUSG00000028393	Alad	1
ENSMUSG00000028394	Pole3	1
ENSMUSG00000028398	Dmac1	1
ENSMUSG00000028416	Bag1	1
ENSMUSG00000028437	Ubap1	1
ENSMUSG00000028447	Dctn3	1
ENSMUSG00000028455	Stoml2	1
ENSMUSG00000028478	Clta	1
ENSMUSG00000028495	Rps6	1
ENSMUSG00000028541	B4galt2	1
ENSMUSG00000028567	Txndc12	1
ENSMUSG00000028597	Gpx7	1
ENSMUSG00000028603	Scp2	1
ENSMUSG00000028608	Czib	1
ENSMUSG00000028618	Tmem59	1
ENSMUSG00000028629	Exo5	1
ENSMUSG00000028639	Ybx1	1
ENSMUSG00000028646	Rragc	1
ENSMUSG00000028648	Ndufs5	1
ENSMUSG00000028670	Lypla2	1
ENSMUSG00000028671	Gale	1
ENSMUSG00000028672	Hmgcl	1
ENSMUSG00000028673	Fuca1	1
ENSMUSG00000028677	Rnf220	1
ENSMUSG00000028691	Prdx1	1
ENSMUSG00000028692	Akr1a1	1
ENSMUSG00000028700	Pomgnt1	1
ENSMUSG00000028729	Ebna1bp2	1
ENSMUSG00000028741	Mrto4	1
ENSMUSG00000028743	Akr7a5	1
ENSMUSG00000028745	Capzb	1
ENSMUSG00000028756	Pink1	1
ENSMUSG00000028757	Ddost	1
ENSMUSG00000028772	Zcchc17	1
ENSMUSG00000028773	Fabp3	1
ENSMUSG00000028776	Tinagl1	1
ENSMUSG00000028779	Pef1	1
ENSMUSG00000028785	Hpca	1
ENSMUSG00000028798	Eif3i	1
ENSMUSG00000028821	Syf2	1
ENSMUSG00000028822	Tmem50a	1
ENSMUSG00000028832	Stmn1	1
ENSMUSG00000028837	Psmb2	1
ENSMUSG00000028843	Sh3bgrl3	1
ENSMUSG00000028849	Map7d1	1
ENSMUSG00000028850	Gpatch3	1
ENSMUSG00000028851	Nudc	1
ENSMUSG00000028857	Tmem222	1
ENSMUSG00000028861	Mrps15	1
ENSMUSG00000028862	Map3k6	1
ENSMUSG00000028911	Srsf4	1
ENSMUSG00000028923	Necap2	1
ENSMUSG00000028932	Psmc2	1
ENSMUSG00000028937	Acot7	1
ENSMUSG00000028945	Rheb	1
ENSMUSG00000028949	Smarcd3	1
ENSMUSG00000028959	Fastk	1
ENSMUSG00000028964	Park7	1
ENSMUSG00000028982	Slc25a33	1
ENSMUSG00000028998	Tomm7	1
ENSMUSG00000029022	Miip	1
ENSMUSG00000029026	Trp73	1
ENSMUSG00000029038	Ssu72	1
ENSMUSG00000029048	Rer1	1
ENSMUSG00000029059	Prxl2b	1
ENSMUSG00000029062	Cdk11b	1
ENSMUSG00000029066	Mrpl20	1
ENSMUSG00000029071	Dvl1	1
ENSMUSG00000029103	Lrpap1	1
ENSMUSG00000029145	Eif2b4	1
ENSMUSG00000029146	Snx17	1
ENSMUSG00000029147	Ppm1g	1
ENSMUSG00000029148	Nrbp1	1
ENSMUSG00000029166	Mapre3	1
ENSMUSG00000029223	Uchl1	1
ENSMUSG00000029310	Nudt9	1
ENSMUSG00000029319	Coq2	1
ENSMUSG00000029326	Enoph1	1
ENSMUSG00000029348	Asphd2	1
ENSMUSG00000029359	Tesc	1
ENSMUSG00000029364	Wsb2	1
ENSMUSG00000029388	Eif2b1	1
ENSMUSG00000029390	Tmed2	1
ENSMUSG00000029401	Rilpl2	1
ENSMUSG00000029404	Arl6ip4	1
ENSMUSG00000029430	Ran	1
ENSMUSG00000029433	Diablo	1
ENSMUSG00000029440	Psmd9	1
ENSMUSG00000029454	Mapkapk5	1
ENSMUSG00000029462	Vps29	1
ENSMUSG00000029463	Fam216a	1
ENSMUSG00000029465	Arpc3	1
ENSMUSG00000029472	Anapc5	1
ENSMUSG00000029484	Anxa3	1
ENSMUSG00000029559	2210016L21Rik	1
ENSMUSG00000029580	Actb	1
ENSMUSG00000029614	Rpl6	1
ENSMUSG00000029616	Erp29	1
ENSMUSG00000029621	Arpc1a	1
ENSMUSG00000029623	Pdap1	1
ENSMUSG00000029632	Ndufa4	1
ENSMUSG00000029642	Polr1d	1
ENSMUSG00000029649	Pomp	1
ENSMUSG00000029713	Gnb2	1
ENSMUSG00000029718	Pcolce	1
ENSMUSG00000029723	Tsc22d4	1
ENSMUSG00000029725	Ppp1r35	1
ENSMUSG00000029752	Asns	1
ENSMUSG00000029776	Hibadh	1
ENSMUSG00000029777	Gars1	1
ENSMUSG00000029780	Nt5c3	1
ENSMUSG00000029819	Npy	1
ENSMUSG00000029864	Gstk1	1
ENSMUSG00000029918	Mrps33	1
ENSMUSG00000030007	Cct7	1
ENSMUSG00000030034	Ino80b	1
ENSMUSG00000030035	Wbp1	1
ENSMUSG00000030037	Mrpl53	1
ENSMUSG00000030042	Pole4	1
ENSMUSG00000030045	Mrpl19	1
ENSMUSG00000030057	Cnbp	1
ENSMUSG00000030060	Hmces	1
ENSMUSG00000030062	Rpn1	1
ENSMUSG00000030079	Ruvbl1	1
ENSMUSG00000030086	Chchd6	1
ENSMUSG00000030107	Usp18	1
ENSMUSG00000030120	Mlf2	1
ENSMUSG00000030122	Ptms	1
ENSMUSG00000030161	Gabarapl1	1
ENSMUSG00000030189	Ybx3	1
ENSMUSG00000030204	Ddx47	1
ENSMUSG00000030222	Rerg	1
ENSMUSG00000030246	Ldhb	1
ENSMUSG00000030272	Camk1	1
ENSMUSG00000030284	Creld1	1
ENSMUSG00000030286	Emc3	1
ENSMUSG00000030298	Sec13	1
ENSMUSG00000030316	Tamm41	1
ENSMUSG00000030330	Ing4	1
ENSMUSG00000030342	Cd9	1
ENSMUSG00000030357	Fkbp4	1
ENSMUSG00000030401	Rtn2	1
ENSMUSG00000030410	Dmwd	1
ENSMUSG00000030413	Pglyrp1	1
ENSMUSG00000030417	Pdcd5	1
ENSMUSG00000030428	Ttyh1	1
ENSMUSG00000030432	Rpl28	1
ENSMUSG00000030435	U2af2	1
ENSMUSG00000030512	Snrpa1	1
ENSMUSG00000030538	Cib1	1
ENSMUSG00000030541	Idh2	1
ENSMUSG00000030590	Fam98c	1
ENSMUSG00000030591	Psmd8	1
ENSMUSG00000030595	Nfkbib	1
ENSMUSG00000030603	Psmc4	1
ENSMUSG00000030611	Mrps11	1
ENSMUSG00000030612	Mrpl46	1
ENSMUSG00000030615	Tmem126a	1
ENSMUSG00000030647	Ndufc2	1
ENSMUSG00000030652	Coq7	1
ENSMUSG00000030663	1110004F10Rik	1
ENSMUSG00000030678	Maz	1
ENSMUSG00000030685	Kctd13	1
ENSMUSG00000030688	Stard10	1
ENSMUSG00000030695	Aldoa	1
ENSMUSG00000030697	Ppp4c	1
ENSMUSG00000030701	Plekhb1	1
ENSMUSG00000030714	Sgf29	1
ENSMUSG00000030733	Sh2b1	1
ENSMUSG00000030744	Rps3	1
ENSMUSG00000030751	Psma1	1
ENSMUSG00000030763	Lcmt1	1
ENSMUSG00000030787	Lyve1	1
ENSMUSG00000030805	Stx4a	1
ENSMUSG00000030811	Fbxl19	1
ENSMUSG00000030815	Phkg2	1
ENSMUSG00000030842	Lamtor1	1
ENSMUSG00000030844	Rgs10	1
ENSMUSG00000030868	Dctn5	1
ENSMUSG00000030869	Ndufab1	1
ENSMUSG00000030876	Mettl9	1
ENSMUSG00000030890	Ilk	1
ENSMUSG00000030897	Cnga4	1
ENSMUSG00000030934	Oat	1
ENSMUSG00000030946	Lhpp	1
ENSMUSG00000030983	Bccip	1
ENSMUSG00000030990	Pgap2	1
ENSMUSG00000031021	Tmem9b	1
ENSMUSG00000031024	Dennd2b	1
ENSMUSG00000031029	Eif3f	1
ENSMUSG00000031059	Ndufb11	1
ENSMUSG00000031068	Glrx3	1
ENSMUSG00000031104	Rab33a	1
ENSMUSG00000031134	Rbmx	1
ENSMUSG00000031149	Praf2	1
ENSMUSG00000031154	Otud5	1
ENSMUSG00000031155	Pim2	1
ENSMUSG00000031157	Pqbp1	1
ENSMUSG00000031158	Timm17b	1
ENSMUSG00000031167	Rbm3	1
ENSMUSG00000031231	Cox7b	1
ENSMUSG00000031320	Rps4x	1
ENSMUSG00000031371	Haus7	1
ENSMUSG00000031392	Irak1	1
ENSMUSG00000031428	Zcchc18	1
ENSMUSG00000031447	Lamp1	1
ENSMUSG00000031458	Coprs	1
ENSMUSG00000031505	Naxd	1
ENSMUSG00000031516	Dctn6	1
ENSMUSG00000031532	Saraf	1
ENSMUSG00000031534	Smim19	1
ENSMUSG00000031556	Tm2d2	1
ENSMUSG00000031570	Plpp5	1
ENSMUSG00000031578	Mak16	1
ENSMUSG00000031590	Frg1	1
ENSMUSG00000031609	Sap30	1
ENSMUSG00000031610	Scrg1	1
ENSMUSG00000031633	Slc25a4	1
ENSMUSG00000031634	Ufsp2	1
ENSMUSG00000031660	Brd7	1
ENSMUSG00000031700	Gpt2	1
ENSMUSG00000031728	Zfp821	1
ENSMUSG00000031730	Dhodh	1
ENSMUSG00000031760	Mt3	1
ENSMUSG00000031762	Mt2	1
ENSMUSG00000031765	Mt1	1
ENSMUSG00000031770	Herpud1	1
ENSMUSG00000031774	Psme3ip1	1
ENSMUSG00000031776	Arl2bp	1
ENSMUSG00000031783	Polr2c	1
ENSMUSG00000031799	Tpm4	1
ENSMUSG00000031807	Pgls	1
ENSMUSG00000031808	Slc27a1	1
ENSMUSG00000031818	Cox4i1	1
ENSMUSG00000031820	Babam1	1
ENSMUSG00000031821	Gins2	1
ENSMUSG00000031827	Cotl1	1
ENSMUSG00000031837	Necab2	1
ENSMUSG00000031839	Hsbp1	1
ENSMUSG00000031840	Rab3a	1
ENSMUSG00000031848	Lsm4	1
ENSMUSG00000031851	Ntpcr	1
ENSMUSG00000031875	Cmtm3	1
ENSMUSG00000031879	Ciao2b	1
ENSMUSG00000031897	Psmb10	1
ENSMUSG00000031913	Vps4a	1
ENSMUSG00000031927	1700012B09Rik	1
ENSMUSG00000031948	Kars1	1
ENSMUSG00000031950	Gabarapl2	1
ENSMUSG00000031954	Cfdp1	1
ENSMUSG00000032046	Abhd12	1
ENSMUSG00000032047	Acat1	1
ENSMUSG00000032051	Fdx1	1
ENSMUSG00000032060	Cryab	1
ENSMUSG00000032067	Pts	1
ENSMUSG00000032118	Fez1	1
ENSMUSG00000032171	Pin1	1
ENSMUSG00000032184	Lysmd2	1
ENSMUSG00000032204	Aqp9	1
ENSMUSG00000032239	Rp9	1
ENSMUSG00000032249	Anp32a	1
ENSMUSG00000032288	Imp3	1
ENSMUSG00000032291	Crabp1	1
ENSMUSG00000032301	Psma4	1
ENSMUSG00000032324	Tspan3	1
ENSMUSG00000032327	Stra6	1
ENSMUSG00000032330	Cox7a2	1
ENSMUSG00000032353	Tmed3	1
ENSMUSG00000032370	Lactb	1
ENSMUSG00000032382	Snx1	1
ENSMUSG00000032383	Ppib	1
ENSMUSG00000032399	Rpl4	1
ENSMUSG00000032412	Atp1b3	1
ENSMUSG00000032508	Myd88	1
ENSMUSG00000032517	Mobp	1
ENSMUSG00000032518	Rpsa	1
ENSMUSG00000032547	Ryk	1
ENSMUSG00000032553	Srprb	1
ENSMUSG00000032557	Uba5	1
ENSMUSG00000032562	Gnai2	1
ENSMUSG00000032575	Manf	1
ENSMUSG00000032609	Klhdc8b	1
ENSMUSG00000032802	Srxn1	1
ENSMUSG00000032897	Nfyc	1
ENSMUSG00000032959	Pebp1	1
ENSMUSG00000032966	Fkbp1a	1
ENSMUSG00000032977	Slx9	1
ENSMUSG00000033006	Sox10	1
ENSMUSG00000033020	Polr2f	1
ENSMUSG00000033022	Cdo1	1
ENSMUSG00000033099	Nol12	1
ENSMUSG00000033152	Podxl2	1
ENSMUSG00000033159	Cnppd1	1
ENSMUSG00000033208	S100b	1
ENSMUSG00000033249	Hsf4	1
ENSMUSG00000033287	Kctd17	1
ENSMUSG00000033307	Mif	1
ENSMUSG00000033335	Dnm2	1
ENSMUSG00000033379	Atp6v0b	1
ENSMUSG00000033416	Gucd1	1
ENSMUSG00000033423	Eri3	1
ENSMUSG00000033467	Crlf2	1
ENSMUSG00000033475	Tomm6	1
ENSMUSG00000033728	Lrrc14	1
ENSMUSG00000033751	Gadd45gip1	1
ENSMUSG00000033845	Mrpl15	1
ENSMUSG00000033862	Cdk10	1
ENSMUSG00000033916	Chmp2a	1
ENSMUSG00000033917	Gde1	1
ENSMUSG00000033938	Ndufb7	1
ENSMUSG00000033940	Brk1	1
ENSMUSG00000034024	Cct2	1
ENSMUSG00000034105	Meak7	1
ENSMUSG00000034120	Srsf2	1
ENSMUSG00000034165	Ccnd3	1
ENSMUSG00000034190	Chmp7	1
ENSMUSG00000034224	Slc38a8	1
ENSMUSG00000034254	Agpat1	1
ENSMUSG00000034259	Exosc4	1
ENSMUSG00000034334	Fam151b	1
ENSMUSG00000034341	Wbp2	1
ENSMUSG00000034353	Ramp1	1
ENSMUSG00000034412	Tbc1d10a	1
ENSMUSG00000034424	Gcsh	1
ENSMUSG00000034429	Zfp707	1
ENSMUSG00000034432	Cops8	1
ENSMUSG00000034566	Atp5pd	1
ENSMUSG00000034595	Ppp1r18	1
ENSMUSG00000034673	Pbx2	1
ENSMUSG00000034681	Rnps1	1
ENSMUSG00000034708	Grn	1
ENSMUSG00000034744	Nagk	1
ENSMUSG00000034781	Gna11	1
ENSMUSG00000034789	Rab24	1
ENSMUSG00000034793	G6pc3	1
ENSMUSG00000034820	Cpsf7	1
ENSMUSG00000034868	Myl12b	1
ENSMUSG00000034875	Nudt19	1
ENSMUSG00000034880	Mrpl34	1
ENSMUSG00000034892	Rps29	1
ENSMUSG00000034932	Mrpl54	1
ENSMUSG00000034936	Arl4d	1
ENSMUSG00000034974	Dapk3	1
ENSMUSG00000035027	Map2k2	1
ENSMUSG00000035048	Anapc13	1
ENSMUSG00000035086	Becn1	1
ENSMUSG00000035198	Tubg1	1
ENSMUSG00000035199	Arl6ip5	1
ENSMUSG00000035212	Leprot	1
ENSMUSG00000035215	Lsm7	1
ENSMUSG00000035227	Spcs2	1
ENSMUSG00000035228	Ccdc106	1
ENSMUSG00000035242	Oaz1	1
ENSMUSG00000035268	Pkig	1
ENSMUSG00000035285	Nat14	1
ENSMUSG00000035443	Thyn1	1
ENSMUSG00000035478	Mbd3	1
ENSMUSG00000035505	Cox18	1
ENSMUSG00000035521	Gnptg	1
ENSMUSG00000035530	Eif1	1
ENSMUSG00000035595	Fam174c	1
ENSMUSG00000035640	Cbarp	1
ENSMUSG00000035674	Ndufa3	1
ENSMUSG00000035686	Thrsp	1
ENSMUSG00000035757	Selenoo	1
ENSMUSG00000035790	Cep19	1
ENSMUSG00000035824	Tk2	1
ENSMUSG00000035885	Cox8a	1
ENSMUSG00000035890	Rnf126	1
ENSMUSG00000035953	Pip4p1	1
ENSMUSG00000035964	Tmem59l	1
ENSMUSG00000036036	Zfp57	1
ENSMUSG00000036114	Rpp25l	1
ENSMUSG00000036138	Acaa1a	1
ENSMUSG00000036199	Ndufa13	1
ENSMUSG00000036241	Ube2r2	1
ENSMUSG00000036246	Gmip	1
ENSMUSG00000036299	BC031181	1
ENSMUSG00000036309	Skp1	1
ENSMUSG00000036315	Polr1h	1
ENSMUSG00000036352	Ubac1	1
ENSMUSG00000036372	Tmem258	1
ENSMUSG00000036390	Gadd45a	1
ENSMUSG00000036398	Ppp1r11	1
ENSMUSG00000036427	Gpi1	1
ENSMUSG00000036438	Calm2	1
ENSMUSG00000036442	Thap11	1
ENSMUSG00000036459	Wtip	1
ENSMUSG00000036504	Phpt1	1
ENSMUSG00000036555	Iqce	1
ENSMUSG00000036570	Fxyd1	1
ENSMUSG00000036620	Mgat4b	1
ENSMUSG00000036733	Rbm42	1
ENSMUSG00000036748	Cuedc2	1
ENSMUSG00000036751	Cox6b1	1
ENSMUSG00000036752	Tubb4b	1
ENSMUSG00000036781	Rps27l	1
ENSMUSG00000036835	Psenen	1
ENSMUSG00000036845	Lin37	1
ENSMUSG00000036850	Mrpl41	1
ENSMUSG00000036873	2410004B18Rik	1
ENSMUSG00000036896	C1qc	1
ENSMUSG00000036905	C1qb	1
ENSMUSG00000036948	Trappc14	1
ENSMUSG00000037060	Cavin3	1
ENSMUSG00000037070	Rbmxl1	1
ENSMUSG00000037072	Selenof	1
ENSMUSG00000037089	Slc35b2	1
ENSMUSG00000037152	Ndufc1	1
ENSMUSG00000037257	Aagab	1
ENSMUSG00000037266	Rsrp1	1
ENSMUSG00000037296	Lsm1	1
ENSMUSG00000037349	Nudt22	1
ENSMUSG00000037361	Sf3b6	1
ENSMUSG00000037364	Srrt	1
ENSMUSG00000037373	Ctbp1	1
ENSMUSG00000037493	Cib2	1
ENSMUSG00000037499	Nenf	1
ENSMUSG00000037514	Pank2	1
ENSMUSG00000037531	Mrpl47	1
ENSMUSG00000037563	Rps16	1
ENSMUSG00000037570	Mcrs1	1
ENSMUSG00000037601	Nme1	1
ENSMUSG00000037706	Cd81	1
ENSMUSG00000037710	Cisd1	1
ENSMUSG00000037716	Ccdc33	1
ENSMUSG00000037740	Mrps26	1
ENSMUSG00000037742	Eef1a1	1
ENSMUSG00000037747	Phyhipl	1
ENSMUSG00000037772	Mrpl23	1
ENSMUSG00000037805	Rpl10a	1
ENSMUSG00000037843	Vstm2l	1
ENSMUSG00000037872	Ackr1	1
ENSMUSG00000037894	H2az1	1
ENSMUSG00000037907	Ankrd13b	1
ENSMUSG00000037916	Ndufv1	1
ENSMUSG00000037958	Nsrp1	1
ENSMUSG00000037971	Cfap68	1
ENSMUSG00000038005	Hpf1	1
ENSMUSG00000038046	Mrm3	1
ENSMUSG00000038059	Smim3	1
ENSMUSG00000038150	Ormdl3	1
ENSMUSG00000038236	Hoxa7	1
ENSMUSG00000038271	Iffo1	1
ENSMUSG00000038274	Fau	1
ENSMUSG00000038312	Edem2	1
ENSMUSG00000038370	Pcp4l1	1
ENSMUSG00000038374	Rbm8a	1
ENSMUSG00000038398	Upf3a	1
ENSMUSG00000038462	Uqcrfs1	1
ENSMUSG00000038489	Polr2l	1
ENSMUSG00000038500	Prr3	1
ENSMUSG00000038502	Ptov1	1
ENSMUSG00000038503	Mesd	1
ENSMUSG00000038539	Atf5	1
ENSMUSG00000038550	Ciart	1
ENSMUSG00000038552	Fndc4	1
ENSMUSG00000038555	Reep2	1
ENSMUSG00000038619	Ensa	1
ENSMUSG00000038683	Pak1ip1	1
ENSMUSG00000038690	Atp5mf	1
ENSMUSG00000038717	Atp5mg	1
ENSMUSG00000038722	Bud31	1
ENSMUSG00000038840	Birc7	1
ENSMUSG00000038845	Phb1	1
ENSMUSG00000038871	Bpgm	1
ENSMUSG00000038880	Mrps34	1
ENSMUSG00000038900	Rpl12	1
ENSMUSG00000038975	Rabggtb	1
ENSMUSG00000038991	Txndc5	1
ENSMUSG00000039001	Rps21	1
ENSMUSG00000039016	Timm8b	1
ENSMUSG00000039069	Mtg2	1
ENSMUSG00000039105	Atp6v1g1	1
ENSMUSG00000039154	Shd	1
ENSMUSG00000039217	Il18	1
ENSMUSG00000039257	Vstm2b	1
ENSMUSG00000039294	Cybc1	1
ENSMUSG00000039307	Hexd	1
ENSMUSG00000039323	Igfbp2	1
ENSMUSG00000039356	Exosc2	1
ENSMUSG00000039427	Alg1	1
ENSMUSG00000039483	Asb6	1
ENSMUSG00000039515	Ptpa	1
ENSMUSG00000039533	Mmd2	1
ENSMUSG00000039568	Ubald1	1
ENSMUSG00000039615	Stub1	1
ENSMUSG00000039640	Mrpl12	1
ENSMUSG00000039660	Spout1	1
ENSMUSG00000039661	Dusp26	1
ENSMUSG00000039680	Mrps6	1
ENSMUSG00000039682	Lap3	1
ENSMUSG00000039771	Polr2j	1
ENSMUSG00000039886	Tmem120a	1
ENSMUSG00000039914	Coq10a	1
ENSMUSG00000040034	Nup43	1
ENSMUSG00000040048	Ndufb10	1
ENSMUSG00000040158	Tax1bp3	1
ENSMUSG00000040220	Gas8	1
ENSMUSG00000040258	Nxph4	1
ENSMUSG00000040263	Klhdc4	1
ENSMUSG00000040269	Mrps28	1
ENSMUSG00000040280	Ndufa4l2	1
ENSMUSG00000040331	Nsmce4a	1
ENSMUSG00000040385	Ppp1ca	1
ENSMUSG00000040415	Dtx3	1
ENSMUSG00000040441	Slc26a10	1
ENSMUSG00000040447	Spns2	1
ENSMUSG00000040472	Rabggta	1
ENSMUSG00000040521	Tsfm	1
ENSMUSG00000040563	Plppr2	1
ENSMUSG00000040613	Apobec1	1
ENSMUSG00000040631	Dok4	1
ENSMUSG00000040652	Oaz2	1
ENSMUSG00000040667	Nup88	1
ENSMUSG00000040681	Hmgn1	1
ENSMUSG00000040759	Cmtm5	1
ENSMUSG00000040767	Snrnp25	1
ENSMUSG00000040795	Iqcc	1
ENSMUSG00000040813	Tex264	1
ENSMUSG00000040822	1700123O20Rik	1
ENSMUSG00000040824	Snrpd2	1
ENSMUSG00000040888	Gfer	1
ENSMUSG00000040904	Gm21988	1
ENSMUSG00000040952	Rps19	1
ENSMUSG00000040997	Abhd4	1
ENSMUSG00000041035	Dpcd	1
ENSMUSG00000041084	Ostc	1
ENSMUSG00000041096	Tspyl2	1
ENSMUSG00000041117	Ccdc8	1
ENSMUSG00000041130	Zfp598	1
ENSMUSG00000041168	Lonp1	1
ENSMUSG00000041203	Trir	1
ENSMUSG00000041354	Rgl2	1
ENSMUSG00000041355	Ssr2	1
ENSMUSG00000041420	Meis3	1
ENSMUSG00000041453	Rpl21	1
ENSMUSG00000041476	Smpx	1
ENSMUSG00000041506	Rrp9	1
ENSMUSG00000041560	Nop53	1
ENSMUSG00000041571	Selenow	1
ENSMUSG00000041607	Mbp	1
ENSMUSG00000041629	Vcf1	1
ENSMUSG00000041632	Mrps27	1
ENSMUSG00000041697	Cox6a1	1
ENSMUSG00000041740	Rnf10	1
ENSMUSG00000041765	Ubac2	1
ENSMUSG00000041769	Ppp2r2d	1
ENSMUSG00000041777	Cir1	1
ENSMUSG00000041841	Rpl37	1
ENSMUSG00000041881	Ndufa7	1
ENSMUSG00000041926	Rnpep	1
ENSMUSG00000041959	S100a10	1
ENSMUSG00000041975	Mettl8	1
ENSMUSG00000042043	Tbca	1
ENSMUSG00000042079	Hnrnpf	1
ENSMUSG00000042109	Csdc2	1
ENSMUSG00000042111	Ccdc115	1
ENSMUSG00000042148	Cox10	1
ENSMUSG00000042275	Pelo	1
ENSMUSG00000042303	Sgsm3	1
ENSMUSG00000042312	S100a13	1
ENSMUSG00000042396	Rbm7	1
ENSMUSG00000042406	Atf4	1
ENSMUSG00000042462	Dctpp1	1
ENSMUSG00000042541	Sem1	1
ENSMUSG00000042569	Dhrs7b	1
ENSMUSG00000042572	Ube2q1	1
ENSMUSG00000042675	Ypel3	1
ENSMUSG00000042682	Selenok	1
ENSMUSG00000042694	Stn1	1
ENSMUSG00000042712	Tceal9	1
ENSMUSG00000042729	Wdr74	1
ENSMUSG00000042737	Dpm3	1
ENSMUSG00000042745	Id1	1
ENSMUSG00000042747	Krtcap2	1
ENSMUSG00000042750	Bex2	1
ENSMUSG00000042814	Mcts2	1
ENSMUSG00000042828	Trim72	1
ENSMUSG00000042831	Alkbh6	1
ENSMUSG00000042870	Tom1	1
ENSMUSG00000042992	Borcs5	1
ENSMUSG00000043284	Tmem11	1
ENSMUSG00000043445	Pgp	1
